node,os,machine,cuda,multi_gpu,batch_size,data_dir,model_dir,train_epochs,user,timestamp,localtime,accuracy,steps,duration
MacPro,Darwin,X86_64,0,0,128,/var/ellie/data/mnist_fashion,/tmp/mnist_model,10,wgiersche,1525009838,Sun Apr 29 15:50:38 2018,,,
MacPro,Darwin,X86_64,0,0,64,/var/ellie/data/mnist_fashion,/tmp/mnist_model,10,wgiersche,1525017946,Sun Apr 29 18:05:46 2018,,,
ZRHN1979,Windows,X86_64,0,0,256,/var/ellie/data/mnist_fashion,C:\tmp\mnist_model,6,wgi,1525088900,Mon Apr 30 13:48:20 2018,0.9800999760627748,1410.0,
MacPro,Darwin,X86_64,0,0,64,/var/ellie/data/mnist_fashion,/tmp/mnist_model,10,wgiersche,1525102123,Mon Apr 30 17:28:43 2018,,,
wolfgangs-mac-pro.home,Darwin,X86_64,0,0,64,/var/ellie/data/mnist_fashion,/tmp/mnist_model,10,wgiersche,1525102123,Mon Apr 30 17:28:43 2018,,,
MacPro,Darwin,X86_64,0,0,256,/var/ellie/data/mnist_fashion,/tmp/mnist_model,4,wgiersche,1525149395,Tue May  1 06:36:35 2018,0.8801000118255615,940.0,
PC-16,Ubuntu,X86_64,1,1,256,/var/ellie/data/mnist_fashion,/tmp/mnist_model,40,wgiersche,1525158714,Tue May  1 09:11:54 2018,0.8917999863624573,9400.0,
wolfgangs-mac-pro.home,Darwin-15.6.0-x86_64-i386-64bit,x86_64,0,0,256,/var/ellie/data/mnist_fashion,/tmp/mnist_model,4,wgiersche,1525168069,Tue May  1 11:47:49 2018,0.8769999742507935,940.0,
wolfgangs-mac-pro.home,Darwin-15.6.0-x86_64-i386-64bit,x86_64,0,0,256,/var/ellie/data/mnist_fashion,/tmp/mnist_model,4,wgiersche,1525169355,Tue May  1 12:09:15 2018,0.8824999928474426,1880.0,
wolfgangs-mac-pro.home,Darwin-15.6.0-x86_64-i386-64bit,x86_64,0,0,256,/var/ellie/data/mnist_fashion,/tmp/mnist_model,4,wgiersche,1525170216,Tue May  1 12:23:36 2018,0.8680999875068665,940.0,290.0
wolfgangs-mac-pro.home,Darwin-15.6.0-x86_64-i386-64bit,x86_64,0,0,256,/var/ellie/data/mnist_fashion,/tmp/mnist_model,4,wgiersche,1525170216,Tue May  1 12:23:36 2018,0.8762000203132629,1880.0,645.0
wolfgangs-mac-pro.home,Darwin-15.6.0-x86_64-i386-64bit,x86_64,0,0,256,/var/ellie/data/mnist_fashion,/tmp/mnist_model,4,wgiersche,1525170216,Tue May  1 12:23:36 2018,0.8794000148773193,2820.0,13.0
wolfgangs-mac-pro.home,Darwin-15.6.0-x86_64-i386-64bit,x86_64,0,0,256,/var/ellie/data/mnist_fashion,/tmp/mnist_model,4,wgiersche,1525171715,Tue May  1 12:48:35 2018,0.8755999803543091,940.0,12.0
wolfgangs-mac-pro.home,Darwin-15.6.0-x86_64-i386-64bit,x86_64,0,0,256,/var/ellie/data/mnist_fashion,/tmp/mnist_model,4,wgiersche,1525171715,Tue May  1 12:48:35 2018,0.8859999775886536,1880.0,12.0
